LECROYHDO6104	18177	Waveform
Segments	1	SegmentSize	20002
Segment	TrigTime	TimeSinceSegment1
#1	02-Jun-2022 12:17:48	0                 
Time	Ampl
-10.001	-0.0194904
-10	-0.0116193
-9.999	-0.00537236
-9.998	-0.00637187
-9.997	-0.00624694
-9.996	-0.00987016
-9.995	-0.00624694
-9.994	-0.00499755
-9.993	-0.0077462
-9.992	-0.00187408
-9.991	0.00537236
-9.99	-0.00912053
-9.989	-0.00712151
-9.988	0.00212396
-9.987	-0.00987016
-9.986	-0.00887065
-9.985	-0.00787114
-9.984	-0.0124939
-9.983	-0.0279863
-9.982	-0.00987016
-9.981	-0.00724645
-9.98	-0.00474767
-9.979	-0.00274865
-9.978	-0.00837089
-9.977	-0.0117442
-9.976	-0.00987016
-9.975	-0.0108697
-9.974	-0.0109946
-9.973	-0.00237384
-9.972	-0.0117442
-9.971	-0.00924547
-9.97	-0.00824596
-9.969	-0.00912053
-9.968	-0.0166168
-9.967	-0.00649681
-9.966	-0.00537236
-9.965	-0.00949534
-9.964	-0.0107447
-9.963	-0.0117442
-9.962	-0.0172415
-9.961	-0.0214895
-9.96	-0.0156173
-9.959	-0.00887065
-9.958	-0.0104949
-9.957	-0.0107447
-9.956	-0.00399804
-9.955	-0.00912053
-9.954	-0.00974522
-9.953	-0.00949534
-9.952	-0.0217393
-9.951	-0.0022489
-9.95	-0.0109946
-9.949	-0.00362322
-9.948	-0.00899559
-9.947	-0.00787114
-9.946	-0.0117442
-9.945	-0.00624694
-9.944	-0.000499755
-9.943	-0.00824596
-9.942	-0.00662175
-9.941	-0.00487261
-9.94	-0.0129936
-9.939	-0.0149926
-9.938	-0.0038731
-9.937	-0.00837089
-9.936	-0.00537236
-9.935	-0.00374816
-9.934	-0.00724645
-9.933	-0.00624694
-9.932	-0.0127437
-9.931	-0.00762126
-9.93	-0.00687163
-9.929	-0.00862077
-9.928	-0.00699657
-9.927	-0.0139931
-9.926	-0.0107447
-9.925	-0.0106198
-9.924	-0.00199902
-9.923	-0.00749632
-9.922	-0.00674669
-9.921	-0.00412298
-9.92	-0.02049
-9.919	-0.0104949
-9.918	-0.00924547
-9.917	-0.00624694
-9.916	-0.00787114
-9.915	-0.00924547
-9.914	-0.00724645
-9.913	-0.00637187
-9.912	-0.01012
-9.911	-0.0124939
-9.91	-0.00449779
-9.909	-0.00424792
-9.908	-0.00474767
-9.907	-0.0119941
-9.906	-0.00887065
-9.905	-0.0113694
-9.904	0.0216144
-9.903	-0.00574718
-9.902	-0.00649681
-9.901	-0.00749632
-9.9	-0.00899559
-9.899	-0.00574718
-9.898	0.0134934
-9.897	-0.00874571
-9.896	-0.00674669
-9.895	-0.0116193
-9.894	-0.00537236
-9.893	-0.00474767
-9.892	-0.0211146
-9.891	-0.00624694
-9.89	-0.00912053
-9.889	-0.00474767
-9.888	-0.00412298
-9.887	-0.00499755
-9.886	-0.00662175
-9.885	-0.0104949
-9.884	-0.00424792
-9.883	-0.00737138
-9.882	-0.0133684
-9.881	0.00487261
-9.88	-0.00887065
-9.879	-0.00849583
-9.878	-0.0112445
-9.877	-0.00499755
-9.876	-0.00624694
-9.875	-0.0329838
-9.874	-0.00687163
-9.873	-0.0103699
-9.872	-0.00762126
-9.871	0.0112445
-9.87	-0.00799608
-9.869	-0.00987016
-9.868	-0.00512249
-9.867	-0.00637187
-9.866	-0.0114944
-9.865	-0.00674669
-9.864	-0.00974522
-9.863	-0.0104949
-9.862	-0.0187408
-9.861	-0.0192406
-9.86	-0.018366
-9.859	-0.0077462
-9.858	-0.00662175
-9.857	-0.00699657
-9.856	-0.00899559
-9.855	-0.00574718
-9.854	-0.0113694
-9.853	-0.0113694
-9.852	-0.0137433
-9.851	-0.00512249
-9.85	-0.00887065
-9.849	-0.010245
-9.848	-0.014368
-9.847	-0.00974522
-9.846	-0.00799608
-9.845	-0.010245
-9.844	-0.0238633
-9.843	0.00174914
-9.842	-0.00624694
-9.841	0.0108697
-9.84	-0.00799608
-9.839	-0.0116193
-9.838	-0.00974522
-9.837	-0.00512249
-9.836	-0.00674669
-9.835	-0.00899559
-9.834	-0.0202401
-9.833	-0.00849583
-9.832	-0.00737138
-9.831	-0.0139931
-9.83	-0.00562224
-9.829	-0.00874571
-9.828	-0.00987016
-9.827	-0.0312347
-9.826	-0.00837089
-9.825	-0.00537236
-9.824	-0.0118692
-9.823	-0.00687163
-9.822	-0.00699657
-9.821	-0.0111195
-9.82	-0.00837089
-9.819	-0.00812102
-9.818	-0.00737138
-9.817	-0.00212396
-9.816	-0.00562224
-9.815	-0.0515997
-9.814	-0.0186159
-9.813	-0.00749632
-9.812	-0.00762126
-9.811	-0.00912053
-9.81	-0.01012
-9.809	0.00274865
-9.808	-0.00699657
-9.807	-0.00887065
-9.806	-0.00412298
-9.805	-0.00699657
-9.804	-0.00887065
-9.803	-0.0154924
-9.802	-0.00274865
-9.801	-0.0182411
-9.8	0.00137433
-9.799	-0.00249877
-9.798	-0.00674669
-9.797	-0.00899559
-9.796	-0.00637187
-9.795	-0.00674669
-9.794	-0.00887065
-9.793	0.0038731
-9.792	-0.00674669
-9.791	-0.0126188
-9.79	-0.010245
-9.789	-0.00712151
-9.788	-0.00649681
-9.787	-0.00887065
-9.786	-0.0266119
-9.785	-0.0099951
-9.784	-0.0104949
-9.783	-0.00537236
-9.782	-0.00362322
-9.781	-0.00787114
-9.78	-0.018366
-9.779	0.0139931
-9.778	-0.024488
-9.777	-0.0117442
-9.776	-0.0077462
-9.775	-0.00699657
-9.774	-0.0117442
-9.773	-0.00887065
-9.772	-0.0164919
-9.771	0.00237384
-9.77	0.0114944
-9.769	-0.00662175
-9.768	-0.00662175
-9.767	-0.00687163
-9.766	-0.00662175
-9.765	-0.00924547
-9.764	-0.00249877
-9.763	-0.00474767
-9.762	-0.0118692
-9.761	-0.0112445
-9.76	-0.00949534
-9.759	-0.00899559
-9.758	-0.00262371
-9.757	-0.0077462
-9.756	-0.0199902
-9.755	-0.00987016
-9.754	-0.0199902
-9.753	-0.0161171
-9.752	-0.0161171
-9.751	-0.00562224
-9.75	-0.00562224
-9.749	-0.00762126
-9.748	-0.00362322
-9.747	-0.00399804
-9.746	-0.00474767
-9.745	-0.00349828
-9.744	-0.00199902
-9.743	-0.012244
-9.742	-0.0208648
-9.741	-0.00824596
-9.74	-0.00674669
-9.739	-0.00887065
-9.738	-0.00599706
-9.737	-0.00724645
-9.736	-0.00599706
-9.735	-0.00624694
-9.734	-0.0104949
-9.733	-0.0038731
-9.732	-0.00974522
-9.731	-0.00274865
-9.73	-0.00674669
-9.729	-0.0109946
-9.728	-0.00987016
-9.727	-0.010245
-9.726	-0.0134934
-9.725	-0.00687163
-9.724	-0.00149926
-9.723	-0.000624694
-9.722	0.00262371
-9.721	-0.00599706
-9.72	-0.00299853
-9.719	-0.00874571
-9.718	-0.0106198
-9.717	-0.0139931
-9.716	-0.0107447
-9.715	-0.00962028
-9.714	0.016242
-9.713	-0.00212396
-9.712	-0.0107447
-9.711	-0.00637187
-9.71	-0.000624694
-9.709	-0.00749632
-9.708	-0.00424792
-9.707	-0.0109946
-9.706	-0.0136183
-9.705	-0.0099951
-9.704	-0.00274865
-9.703	-0.00749632
-9.702	-0.00574718
-9.701	-0.00362322
-9.7	-0.00474767
-9.699	-0.00487261
-9.698	-0.00799608
-9.697	-0.006122
-9.696	-0.00899559
-9.695	-0.00312347
-9.694	-0.0386061
-9.693	0.00349828
-9.692	-0.00437286
-9.691	-0.00749632
-9.69	-0.006122
-9.689	-0.00737138
-9.688	-0.00574718
-9.687	-0.0104949
-9.686	-0.0168667
-9.685	-0.0123689
-9.684	-0.0131186
-9.683	-0.00249877
-9.682	-0.0402303
-9.681	-0.0093704
-9.68	-0.0188657
-9.679	-0.00574718
-9.678	-0.0038731
-9.677	-0.0106198
-9.676	-0.00362322
-9.675	-0.00412298
-9.674	-0.00537236
-9.673	-0.00712151
-9.672	-0.0119941
-9.671	-0.00824596
-9.67	-0.00587212
-9.669	-0.0138682
-9.668	-0.00887065
-9.667	0.00299853
-9.666	-0.00862077
-9.665	-0.0174914
-9.664	-0.00974522
-9.663	-0.00799608
-9.662	-0.0104949
-9.661	-0.00887065
-9.66	-0.016242
-9.659	-0.00687163
-9.658	-0.00887065
-9.657	-0.00637187
-9.656	-0.00749632
-9.655	-0.0093704
-9.654	0.00899559
-9.653	-0.00362322
-9.652	-0.00712151
-9.651	-0.0368569
-9.65	-0.0099951
-9.649	-0.0108697
-9.648	-0.00562224
-9.647	-0.00924547
-9.646	-0.0181161
-9.645	-0.0148677
-9.644	-0.00574718
-9.643	-0.0103699
-9.642	-0.00649681
-9.641	-0.00887065
-9.64	-0.00587212
-9.639	-0.00587212
-9.638	-0.0103699
-9.637	-0.0054973
-9.636	-0.00574718
-9.635	-0.00587212
-9.634	-0.00649681
-9.633	-0.00662175
-9.632	-0.0118692
-9.631	-0.00574718
-9.63	-0.00537236
-9.629	-0.00099951
-9.628	0.000749632
-9.627	-0.00687163
-9.626	-0.00787114
-9.625	-0.00737138
-9.624	-0.0118692
-9.623	0.00299853
-9.622	-0.00274865
-9.621	0.00499755
-9.62	-0.00699657
-9.619	-0.00737138
-9.618	-0.00487261
-9.617	-0.00837089
-9.616	-0.0109946
-9.615	-0.00537236
-9.614	-0.0149926
-9.613	-0.00149926
-9.612	-0.00749632
-9.611	-0.00812102
-9.61	-0.0077462
-9.609	-0.00562224
-9.608	-0.014368
-9.607	-0.00974522
-9.606	-0.00424792
-9.605	-0.00737138
-9.604	-0.00699657
-9.603	-0.0137433
-9.602	-0.00762126
-9.601	-0.00962028
-9.6	-0.00787114
-9.599	-0.00537236
-9.598	-0.00524743
-9.597	-0.0093704
-9.596	-0.0119941
-9.595	-0.00724645
-9.594	-0.0123689
-9.593	-0.00574718
-9.592	-0.0202401
-9.591	-0.00749632
-9.59	-0.0109946
-9.589	-0.00749632
-9.588	-0.00912053
-9.587	-0.00099951
-9.586	-0.00699657
-9.585	-0.0156173
-9.584	-0.00737138
-9.583	-0.00874571
-9.582	-0.0148677
-9.581	-0.0077462
-9.58	-0.00799608
-9.579	-0.0117442
-9.578	-0.0093704
-9.577	-0.00787114
-9.576	-0.00874571
-9.575	-0.00849583
-9.574	-0.00499755
-9.573	-0.00474767
-9.572	-0.00862077
-9.571	-0.0108697
-9.57	-0.00287359
-9.569	-0.0127437
-9.568	-0.0121191
-9.567	-0.00674669
-9.566	-0.0127437
-9.565	-0.00874571
-9.564	-0.0164919
-9.563	-0.00562224
-9.562	-0.0309848
-9.561	-0.01012
-9.56	-0.0157423
-9.559	-0.00637187
-9.558	1.8735e-016
-9.557	-0.00599706
-9.556	-0.0112445
-9.555	-0.0113694
-9.554	0.00187408
-9.553	-0.00899559
-9.552	0.00649681
-9.551	0.0221142
-9.55	-0.0159922
-9.549	-0.00712151
-9.548	-0.0166168
-9.547	-0.00887065
-9.546	-0.00812102
-9.545	-0.00449779
-9.544	-0.0099951
-9.543	-0.0141181
-9.542	-0.00599706
-9.541	-0.000749632
-9.54	-0.0038731
-9.539	-0.0111195
-9.538	-0.0164919
-9.537	-0.0138682
-9.536	0.00437286
-9.535	-0.00837089
-9.534	-0.0157423
-9.533	-0.0228638
-9.532	-0.00587212
-9.531	-0.0179912
-9.53	-0.0114944
-9.529	-0.00624694
-9.528	-0.00262371
-9.527	-0.00962028
-9.526	-0.00474767
-9.525	-0.00649681
-9.524	-0.00362322
-9.523	-0.00537236
-9.522	0.00412298
-9.521	0.00099951
-9.52	-0.00487261
-9.519	-0.00887065
-9.518	-0.01012
-9.517	-0.00824596
-9.516	-0.00799608
-9.515	-0.00787114
-9.514	-0.00824596
-9.513	-0.00449779
-9.512	-0.0257374
-9.511	-0.0151176
-9.51	0.0038731
-9.509	-0.00924547
-9.508	-0.00874571
-9.507	-0.0106198
-9.506	-0.0118692
-9.505	-0.00712151
-9.504	-0.0147428
-9.503	-0.00787114
-9.502	-0.00874571
-9.501	-0.0132435
-9.5	-0.0173665
-9.499	-0.0054973
-9.498	-0.00899559
-9.497	-0.00699657
-9.496	-0.00849583
-9.495	-0.0129936
-9.494	-0.00662175
-9.493	0.00749632
-9.492	-0.0132435
-9.491	-0.00924547
-9.49	-0.00574718
-9.489	-0.00687163
-9.488	-0.00762126
-9.487	-0.010245
-9.486	-0.00762126
-9.485	-0.00987016
-9.484	-0.00474767
-9.483	-0.000874571
-9.482	0.00687163
-9.481	-0.0178662
-9.48	-0.00899559
-9.479	-0.00674669
-9.478	-0.00837089
-9.477	-0.0159922
-9.476	-0.00924547
-9.475	-0.0132435
-9.474	-0.00524743
-9.473	-0.00574718
-9.472	-0.00962028
-9.471	-0.00974522
-9.47	-0.00699657
-9.469	-0.00899559
-9.468	-0.00849583
-9.467	-0.00887065
-9.466	-0.00649681
-9.465	-0.010245
-9.464	0.00599706
-9.463	-0.00749632
-9.462	-0.00987016
-9.461	-0.0103699
-9.46	-0.0113694
-9.459	-0.00737138
-9.458	-0.00837089
-9.457	-0.0054973
-9.456	-0.010245
-9.455	-0.00837089
-9.454	-0.0119941
-9.453	-0.00362322
-9.452	-0.00987016
-9.451	-0.0146178
-9.45	-0.00699657
-9.449	-0.0137433
-9.448	-0.00487261
-9.447	-0.00912053
-9.446	0.00287359
-9.445	-0.0109946
-9.444	-0.00599706
-9.443	-0.00199902
-9.442	-0.0054973
-9.441	-0.00362322
-9.44	-0.00762126
-9.439	-0.00899559
-9.438	-0.00687163
-9.437	-0.0117442
-9.436	-0.0123689
-9.435	-0.00587212
-9.434	-0.00437286
-9.433	-0.00262371
-9.432	-0.0194904
-9.431	-0.0077462
-9.43	-0.00799608
-9.429	-0.00524743
-9.428	-0.0136183
-9.427	-0.000249877
-9.426	-0.00662175
-9.425	-0.000249877
-9.424	0.00299853
-9.423	0.000749632
-9.422	-0.00574718
-9.421	-0.00337335
-9.42	-0.00749632
-9.419	-0.0171166
-9.418	-0.0113694
-9.417	-0.00862077
-9.416	-0.0113694
-9.415	-0.00699657
-9.414	-0.00212396
-9.413	-0.0093704
-9.412	-0.0127437
-9.411	-0.000249877
-9.41	-0.0108697
-9.409	-0.00674669
-9.408	-0.00399804
-9.407	-0.006122
-9.406	-0.014368
-9.405	-0.00812102
-9.404	-0.0117442
-9.403	-0.00337335
-9.402	-0.0099951
-9.401	-0.00912053
-9.4	0.00324841
-9.399	-0.0111195
-9.398	-0.00787114
-9.397	-0.00824596
-9.396	-0.0109946
-9.395	-0.00424792
-9.394	-0.014368
-9.393	-0.0077462
-9.392	-0.0116193
-9.391	-0.00599706
-9.39	-0.0107447
-9.389	-0.0206149
-9.388	-0.0109946
-9.387	-0.00274865
-9.386	-0.00762126
-9.385	-0.00399804
-9.384	-0.00799608
-9.383	-0.00862077
-9.382	-0.00462273
-9.381	-0.010245
-9.38	-0.00412298
-9.379	-0.010245
-9.378	-0.00437286
-9.377	-0.00287359
-9.376	0.006122
-9.375	-0.0134934
-9.374	-0.0206149
-9.373	-0.0116193
-9.372	0.00299853
-9.371	-0.00824596
-9.37	-0.0159922
-9.369	-0.0136183
-9.368	-0.0178662
-9.367	-0.00587212
-9.366	-0.0141181
-9.365	-0.0077462
-9.364	-0.0179912
-9.363	-0.00587212
-9.362	-0.0144929
-9.361	-0.00637187
-9.36	-0.0118692
-9.359	-0.00574718
-9.358	-0.012244
-9.357	-0.0161171
-9.356	-0.0158672
-9.355	-0.00687163
-9.354	-0.00399804
-9.353	-0.016242
-9.352	-0.00962028
-9.351	-0.0191156
-9.35	-0.00824596
