LECROYHDO6104	18177	Waveform
Segments	1	SegmentSize	20002
Segment	TrigTime	TimeSinceSegment1
#1	02-Jun-2022 12:10:52	0                 
Time	Ampl
-10.001	-0.00849583
-10	0.0684664
-9.999	-0.0109946
-9.998	0.0099951
-9.997	-0.00099951
-9.996	-0.00749632
-9.995	-0.00699657
-9.994	0.00149926
-9.993	-0.00649681
-9.992	-0.0054973
-9.991	0.052974
-9.99	-0.00499755
-9.989	0.0174914
-9.988	-0.00899559
-9.987	0.00149926
-9.986	0.0054973
-9.985	-0.0164919
-9.984	-0.00599706
-9.983	-0.000499755
-9.982	-0.00699657
-9.981	0.00349828
-9.98	0.00349828
-9.979	-0.00749632
-9.978	-0.00749632
-9.977	-0.0054973
-9.976	0.0129936
-9.975	0.0129936
-9.974	-0.00649681
-9.973	0.00649681
-9.972	0.0269868
-9.971	-0.00449779
-9.97	-0.0339833
-9.969	-0.00399804
-9.968	-0.00449779
-9.967	0.00399804
-9.966	0.00199902
-9.965	-0.0454777
-9.964	-0.00299853
-9.963	-0.00849583
-9.962	-0.00499755
-9.961	0.0524743
-9.96	0.0169917
-9.959	-0.00649681
-9.958	-0.00499755
-9.957	0.0054973
-9.956	0.0054973
-9.955	0.00499755
-9.954	0.000499755
-9.953	-0.00399804
-9.952	-0.00199902
-9.951	-0.0184909
-9.95	-0.0214895
-9.949	-0.00149926
-9.948	-0.0099951
-9.947	-0.00599706
-9.946	-0.0219892
-9.945	-0.00699657
-9.944	-0.00249877
-9.943	-0.00399804
-9.942	-0.00199902
-9.941	-0.00499755
-9.94	-0.000499755
-9.939	0.00799608
-9.938	0.00299853
-9.937	0.00499755
-9.936	0.00099951
-9.935	0.00399804
-9.934	0.00299853
-9.933	0.00249877
-9.932	-0.00499755
-9.931	0.00149926
-9.93	0.000499755
-9.929	0.000499755
-9.928	-0.00149926
-9.927	-0.00649681
-9.926	0.000499755
-9.925	-0.00249877
-9.924	-0.00499755
-9.923	-0.00349828
-9.922	0.00149926
-9.921	0.0274865
-9.92	-0.0174914
-9.919	-0.00899559
-9.918	-0.00249877
-9.917	0.000499755
-9.916	-0.0179912
-9.915	-0.000499755
-9.914	0.00599706
-9.913	-0.0319843
-9.912	0.0139931
-9.911	-0.0189907
-9.91	0.0449779
-9.909	-0.00749632
-9.908	-0.00649681
-9.907	0.000499755
-9.906	-0.0104949
-9.905	-0.00699657
-9.904	-0.0169917
-9.903	0.0169917
-9.902	0.00449779
-9.901	-0.00599706
-9.9	-0.00899559
-9.899	-0.00449779
-9.898	-0.00499755
-9.897	-0.0169917
-9.896	-0.00849583
-9.895	1.8735e-016
-9.894	0.00849583
-9.893	-0.00849583
-9.892	0.00199902
-9.891	-0.0104949
-9.89	-0.0169917
-9.889	-0.00099951
-9.888	0.0124939
-9.887	1.8735e-016
-9.886	-0.00349828
-9.885	-0.00399804
-9.884	-0.0149926
-9.883	0.00349828
-9.882	0.00449779
-9.881	0.00249877
-9.88	0.00499755
-9.879	-0.00149926
-9.878	-0.00149926
-9.877	-0.00299853
-9.876	-0.0109946
-9.875	-0.000499755
-9.874	-0.00449779
-9.873	-0.00199902
-9.872	1.8735e-016
-9.871	-0.00849583
-9.87	-0.00799608
-9.869	-0.00349828
-9.868	-0.00899559
-9.867	-0.000499755
-9.866	-0.00499755
-9.865	-0.0099951
-9.864	-0.00149926
-9.863	0.00199902
-9.862	0.0194904
-9.861	-0.0134934
-9.86	0.00249877
-9.859	-0.0054973
-9.858	0.0054973
-9.857	0.00149926
-9.856	0.000499755
-9.855	0.0054973
-9.854	1.8735e-016
-9.853	-0.00499755
-9.852	-0.00499755
-9.851	-0.00699657
-9.85	0.00399804
-9.849	0.00699657
-9.848	-0.00749632
-9.847	-0.00849583
-9.846	-0.00649681
-9.845	-0.00099951
-9.844	-0.0144929
-9.843	-0.00849583
-9.842	-0.0214895
-9.841	-0.0139931
-9.84	-0.00699657
-9.839	0.000499755
-9.838	0.00299853
-9.837	0.00499755
-9.836	-0.0054973
-9.835	-0.00899559
-9.834	0.00449779
-9.833	-0.00449779
-9.832	0.00449779
-9.831	0.0129936
-9.83	0.00399804
-9.829	0.00249877
-9.828	-0.00799608
-9.827	-0.00699657
-9.826	0.00249877
-9.825	0.00099951
-9.824	0.00699657
-9.823	0.00799608
-9.822	0.00449779
-9.821	-0.0219892
-9.82	-0.0434787
-9.819	0.00149926
-9.818	0.00199902
-9.817	-0.00699657
-9.816	-0.00149926
-9.815	0.00349828
-9.814	-0.00349828
-9.813	-0.0209897
-9.812	0.00249877
-9.811	0.00649681
-9.81	-0.00149926
-9.809	0.00349828
-9.808	-0.00899559
-9.807	0.00349828
-9.806	0.00499755
-9.805	0.00899559
-9.804	-0.00399804
-9.803	-0.00449779
-9.802	-0.0149926
-9.801	-0.0354826
-9.8	-0.00149926
-9.799	0.0209897
-9.798	-0.00699657
-9.797	0.000499755
-9.796	0.0099951
-9.795	-0.0129936
-9.794	0.000499755
-9.793	-0.00299853
-9.792	0.0199902
-9.791	-0.0349828
-9.79	0.00449779
-9.789	0.00199902
-9.788	0.00299853
-9.787	0.00699657
-9.786	0.0054973
-9.785	-0.00149926
-9.784	0.00199902
-9.783	-0.000499755
-9.782	0.0054973
-9.781	-0.00349828
-9.78	-0.00799608
-9.779	-0.00299853
-9.778	-0.00199902
-9.777	0.00849583
-9.776	-0.0394806
-9.775	-0.0865825
-9.774	0.00249877
-9.773	-0.00299853
-9.772	0.00649681
-9.771	0.00649681
-9.77	0.0294855
-9.769	-0.0154924
-9.768	0.0109946
-9.767	-0.00399804
-9.766	-0.0584713
-9.765	0.00649681
-9.764	0.00149926
-9.763	1.8735e-016
-9.762	0.0159922
-9.761	0.00249877
-9.76	-0.00399804
-9.759	-0.0174914
-9.758	0.00449779
-9.757	-0.00849583
-9.756	0.00199902
-9.755	-0.0309848
-9.754	-0.00649681
-9.753	0.0279863
-9.752	-0.0154924
-9.751	-0.0249877
-9.75	-0.00599706
-9.749	-0.00199902
-9.748	0.00899559
-9.747	0.00449779
-9.746	0.00499755
-9.745	-0.00199902
-9.744	0.00899559
-9.743	-0.00399804
-9.742	0.129561
-9.741	0.0164919
-9.74	-0.0109946
-9.739	-0.0124939
-9.738	-0.00499755
-9.737	0.00499755
-9.736	0.00449779
-9.735	1.8735e-016
-9.734	-0.00349828
-9.733	-0.00649681
-9.732	-0.0184909
-9.731	-0.00399804
-9.73	0.0099951
-9.729	-0.0054973
-9.728	-0.00599706
-9.727	-0.00299853
-9.726	0.00099951
-9.725	-0.00349828
-9.724	-0.00649681
-9.723	-0.0054973
-9.722	1.8735e-016
-9.721	0.00499755
-9.72	0.00299853
-9.719	0.0104949
-9.718	-0.0124939
-9.717	0.00949534
-9.716	0.00799608
-9.715	-0.00449779
-9.714	-0.0189907
-9.713	-0.00199902
-9.712	-0.00149926
-9.711	0.00199902
-9.71	0.0214895
-9.709	0.00199902
-9.708	-0.000499755
-9.707	0.00849583
-9.706	-0.00199902
-9.705	0.00399804
-9.704	0.00249877
-9.703	0.00749632
-9.702	0.00349828
-9.701	-0.0319843
-9.7	0.00349828
-9.699	0.0124939
-9.698	-0.00599706
-9.697	-0.00799608
-9.696	-0.00399804
-9.695	-0.000499755
-9.694	-0.000499755
-9.693	-0.0054973
-9.692	0.00249877
-9.691	-0.0134934
-9.69	-0.054973
-9.689	0.00799608
-9.688	0.000499755
-9.687	-0.00899559
-9.686	0.0199902
-9.685	0.000499755
