LECROYHDO6104	18177	Waveform
Segments	1	SegmentSize	20002
Segment	TrigTime	TimeSinceSegment1
#1	02-Jun-2022 12:17:48	0                 
Time	Ampl
-10.001	-0.0287359
-10	-0.000749632
-9.999	-0.00324841
-9.998	-0.00499755
-9.997	-0.00474767
-9.996	-0.00674669
-9.995	-0.00424792
-9.994	-0.00524743
-9.993	-0.00349828
-9.992	-0.00424792
-9.991	0.016242
-9.99	-0.0132435
-9.989	-0.00249877
-9.988	0.012244
-9.987	-0.00699657
-9.986	-0.0099951
-9.985	-0.00524743
-9.984	-0.0139931
-9.983	-0.0362322
-9.982	-0.0077462
-9.981	-0.00349828
-9.98	0.00424792
-9.979	0.00374816
-9.978	-0.00499755
-9.977	-0.0119941
-9.976	-0.00849583
-9.975	-0.00849583
-9.974	-0.00649681
-9.973	0.00124939
-9.972	-0.00824596
-9.971	-0.00574718
-9.97	-0.0077462
-9.969	-0.00699657
-9.968	-0.00474767
-9.967	-0.00149926
-9.966	-0.00149926
-9.965	-0.00949534
-9.964	-0.0109946
-9.963	-0.00624694
-9.962	-0.00799608
-9.961	0.00349828
-9.96	-0.0179912
-9.959	0.00174914
-9.958	-0.0112445
-9.957	-0.0132435
-9.956	-0.0054973
-9.955	-0.00649681
-9.954	-0.00974522
-9.953	-0.00799608
-9.952	-0.0322342
-9.951	0.00274865
-9.95	-0.00724645
-9.949	-0.000499755
-9.948	-0.00649681
-9.947	-0.00724645
-9.946	-0.0119941
-9.945	-0.00499755
-9.944	0.00849583
-9.943	-0.00824596
-9.942	-0.0077462
-9.941	-0.000749632
-9.94	-0.00449779
-9.939	-0.0144929
-9.938	-0.00149926
-9.937	-0.00524743
-9.936	-0.00349828
-9.935	0.00249877
-9.934	-0.00249877
-9.933	-0.00249877
-9.932	-0.0112445
-9.931	-0.00749632
-9.93	-0.00674669
-9.929	-0.00899559
-9.928	-0.00574718
-9.927	-0.0154924
-9.926	-0.00699657
-9.925	-0.0077462
-9.924	-0.00274865
-9.923	-0.00674669
-9.922	-0.00674669
-9.921	0.00099951
-9.92	-0.0282362
-9.919	-0.0107447
-9.918	-0.00574718
-9.917	-0.0099951
-9.916	-0.0054973
-9.915	-0.00524743
-9.914	-0.00674669
-9.913	-0.00799608
-9.912	-0.0054973
-9.911	-0.0112445
-9.91	-0.00249877
-9.909	0.00199902
-9.908	-0.0022489
-9.907	-0.0149926
-9.906	-0.00749632
-9.905	-0.00974522
-9.904	-0.00824596
-9.903	-0.000249877
-9.902	-0.0202401
-9.901	-0.00499755
-9.9	-0.00574718
-9.899	0.00174914
-9.898	0.0334836
-9.897	-0.0054973
-9.896	-0.000499755
-9.895	-0.00649681
-9.894	0.00174914
-9.893	-0.0179912
-9.892	-0.00849583
-9.891	-0.00474767
-9.89	-0.00624694
-9.889	-0.00399804
-9.888	-0.00274865
-9.887	-0.00699657
-9.886	-0.00474767
-9.885	-0.00799608
-9.884	-0.00474767
-9.883	-0.00299853
-9.882	-0.0109946
-9.881	0.0132435
-9.88	-0.00699657
-9.879	-0.00674669
-9.878	-0.00749632
-9.877	-0.00299853
-9.876	-0.00299853
-9.875	-0.00949534
-9.874	-0.00274865
-9.873	-0.00824596
-9.872	-0.014243
-9.871	-0.00749632
-9.87	-0.00624694
-9.869	-0.00949534
-9.868	-0.000499755
-9.867	-0.00524743
-9.866	-0.0132435
-9.865	1.8735e-016
-9.864	-0.00624694
-9.863	-0.00699657
-9.862	-0.0269868
-9.861	-0.0197403
-9.86	-0.0289858
-9.859	-0.00624694
-9.858	-0.00249877
