LECROYHDO6104	18177	Waveform
Segments	1	SegmentSize	50002
Segment	TrigTime	TimeSinceSegment1
#1	02-Jun-2022 12:43:02	0                 
Time	Ampl
-25.001	-0.0119941
-25	-0.00849583
-24.999	-0.00699657
-24.998	-0.00399804
-24.997	-0.00199902
-24.996	0.00599706
-24.995	0.00449779
-24.994	-0.00949534
-24.993	-0.00499755
-24.992	-0.0179912
-24.991	-0.0124939
-24.99	-0.0129936
-24.989	-0.0124939
-24.988	-0.00799608
-24.987	-0.0119941
-24.986	0.0169917
-24.985	-0.00399804
-24.984	-0.0129936
-24.983	0.00149926
-24.982	-0.0169917
-24.981	-0.00949534
-24.98	-0.0109946
-24.979	0.0404801
-24.978	0.00449779
-24.977	-0.00299853
-24.976	-0.00749632
-24.975	1.8735e-016
-24.974	-0.000499755
-24.973	-0.00899559
-24.972	-0.0104949
-24.971	-0.00699657
-24.97	0.00749632
-24.969	0.00299853
-24.968	-0.00699657
-24.967	-0.0199902
-24.966	0.0199902
-24.965	-0.0104949
-24.964	-0.0119941
-24.963	-0.0054973
-24.962	-0.00899559
-24.961	-0.00249877
-24.96	-0.00199902
-24.959	-0.00899559
-24.958	-0.0054973
-24.957	-0.00599706
-24.956	-0.00349828
-24.955	0.00149926
-24.954	-0.0164919
-24.953	-0.00299853
-24.952	-0.00699657
-24.951	0.00149926
-24.95	-0.00699657
-24.949	-0.00649681
-24.948	-0.00149926
-24.947	0.00199902
-24.946	-0.00949534
-24.945	-0.0319843
-24.944	-0.00349828
-24.943	-0.00649681
-24.942	0.0054973
-24.941	-0.00149926
-24.94	0.000499755
-24.939	-0.00649681
-24.938	-0.00599706
-24.937	0.00199902
-24.936	-0.0189907
-24.935	-0.028486
-24.934	0.00499755
-24.933	-0.0139931
-24.932	-0.00199902
-24.931	-0.0104949
-24.93	-0.0124939
-24.929	0.000499755
-24.928	-0.00299853
-24.927	0.00149926
-24.926	-0.0119941
-24.925	-0.0189907
-24.924	-0.00199902
-24.923	-0.00449779
-24.922	0.00599706
-24.921	-0.0054973
-24.92	-0.0169917
-24.919	0.00199902
-24.918	-0.00699657
-24.917	-0.0129936
-24.916	0.0144929
-24.915	-0.0289858
-24.914	-0.00299853
-24.913	-0.00749632
-24.912	-0.00799608
-24.911	0.00799608
-24.91	-0.00949534
-24.909	-0.00349828
-24.908	-0.0114944
-24.907	-0.0054973
-24.906	-0.00899559
-24.905	-0.02049
-24.904	0.00199902
-24.903	-0.00699657
-24.902	0.0119941
-24.901	-0.00649681
-24.9	-0.00149926
-24.899	0.00099951
-24.898	-0.0109946
-24.897	-0.00449779
-24.896	-0.00949534
-24.895	0.00199902
-24.894	-0.00849583
-24.893	-0.0189907
-24.892	-0.00399804
-24.891	-0.0119941
-24.89	-0.0104949
-24.889	-0.00499755
-24.888	-0.0149926
-24.887	-0.0149926
-24.886	-0.00499755
-24.885	-0.00449779
-24.884	0.00349828
-24.883	-0.0144929
-24.882	-0.00099951
-24.881	0.00199902
-24.88	-0.00749632
-24.879	-0.00499755
-24.878	-0.0114944
-24.877	0.00199902
-24.876	-0.00299853
-24.875	-0.0164919
-24.874	-0.0139931
-24.873	-0.00599706
-24.872	0.00599706
-24.871	-0.00299853
-24.87	-0.00399804
-24.869	-0.00449779
-24.868	-0.00299853
-24.867	-0.00349828
-24.866	-0.0259873
-24.865	-0.0219892
-24.864	1.8735e-016
-24.863	-0.00099951
-24.862	0.00449779
-24.861	-0.0154924
-24.86	-0.0119941
-24.859	-0.00799608
-24.858	-0.0054973
-24.857	0.00149926
-24.856	-0.00849583
-24.855	-0.0099951
-24.854	-0.00949534
-24.853	-0.0054973
-24.852	-0.00899559
-24.851	-0.0104949
-24.85	-0.00099951
-24.849	-0.0114944
-24.848	-0.00349828
-24.847	0.00099951
-24.846	-0.0394806
-24.845	0.0309848
-24.844	-0.00749632
-24.843	-0.0124939
-24.842	-0.0139931
-24.841	-0.00649681
-24.84	0.00299853
-24.839	1.8735e-016
-24.838	0.0219892
-24.837	-0.00799608
-24.836	-0.0104949
-24.835	-0.00799608
-24.834	-0.00699657
-24.833	-0.0144929
-24.832	-0.0259873
-24.831	-0.00849583
-24.83	-0.0099951
-24.829	-0.00399804
-24.828	0.00799608
-24.827	-0.00299853
-24.826	-0.0179912
-24.825	0.0144929
-24.824	-0.00649681
-24.823	-0.0054973
-24.822	-0.00699657
-24.821	-0.00599706
-24.82	0.00349828
-24.819	-0.00099951
-24.818	-0.00949534
-24.817	-0.00799608
-24.816	-0.0054973
-24.815	-0.00899559
-24.814	-0.0114944
-24.813	-0.0054973
-24.812	-0.00699657
-24.811	-0.000499755
-24.81	-0.0194904
-24.809	-0.0139931
-24.808	-0.00799608
-24.807	-0.0109946
-24.806	0.0324841
-24.805	-0.0679667
-24.804	-0.00449779
-24.803	-0.00249877
-24.802	0.00299853
-24.801	-0.00899559
