LECROYHDO6104	18177	Waveform
Segments	1	SegmentSize	50002
Segment	TrigTime	TimeSinceSegment1
#1	02-Jun-2022 12:43:02	0                 
Time	Ampl
-25.001	-0.00574718
-25	-0.00837089
-24.999	-0.00562224
-24.998	-0.00662175
-24.997	0.000499755
-24.996	-0.00187408
-24.995	-0.00374816
-24.994	-0.00687163
-24.993	-0.00649681
-24.992	-0.0141181
-24.991	-0.00837089
-24.99	-0.00724645
-24.989	-0.010245
-24.988	-0.00624694
-24.987	-0.00624694
-24.986	-0.000499755
-24.985	-0.00512249
-24.984	-0.00712151
-24.983	-0.00424792
-24.982	-0.0118692
-24.981	-0.0104949
-24.98	-0.00912053
-24.979	0.00824596
-24.978	-0.00324841
-24.977	-0.0113694
-24.976	-0.0077462
-24.975	-0.00699657
-24.974	-0.00724645
-24.973	-0.00537236
-24.972	-0.0077462
-24.971	-0.00849583
-24.97	0.000249877
-24.969	-0.0077462
-24.968	-0.00274865
-24.967	-0.0103699
-24.966	0.000624694
-24.965	-0.006122
-24.964	-0.00837089
-24.963	-0.00662175
-24.962	-0.00949534
-24.961	-0.00399804
-24.96	-0.00437286
-24.959	-0.00724645
-24.958	-0.00724645
-24.957	-0.00524743
-24.956	-0.00499755
-24.955	-0.00662175
-24.954	-0.0128687
-24.953	-0.00599706
-24.952	-0.00787114
-24.951	-0.00337335
-24.95	-0.0093704
-24.949	-0.0054973
-24.948	-0.00787114
-24.947	-0.00262371
-24.946	-0.0103699
-24.945	-0.0182411
-24.944	-0.00349828
-24.943	-0.00724645
-24.942	-0.00499755
-24.941	-0.00374816
-24.94	-0.00649681
-24.939	-0.00987016
-24.938	-0.00662175
-24.937	-0.00524743
-24.936	-0.0107447
-24.935	-0.0148677
-24.934	-0.00624694
-24.933	-0.00974522
-24.932	-0.00674669
-24.931	-0.0111195
-24.93	-0.00687163
-24.929	-0.00674669
-24.928	-0.00687163
-24.927	-0.00412298
-24.926	-0.0099951
-24.925	-0.00799608
-24.924	-0.00587212
-24.923	-0.0054973
-24.922	-0.00399804
-24.921	-0.00449779
-24.92	-0.0108697
-24.919	-0.00687163
-24.918	-0.00449779
-24.917	-0.00924547
-24.916	0.00349828
-24.915	-0.0117442
-24.914	-0.00487261
-24.913	-0.0054973
-24.912	-0.00987016
-24.911	-0.0016242
-24.91	-0.00887065
-24.909	-0.00837089
-24.908	-0.00787114
-24.907	-0.00599706
-24.906	-0.00924547
-24.905	-0.0099951
-24.904	-0.00424792
-24.903	-0.00437286
-24.902	-0.00249877
-24.901	-0.00674669
-24.9	-0.00587212
-24.899	-0.00449779
-24.898	-0.00849583
-24.897	-0.0022489
-24.896	-0.00912053
-24.895	-0.00449779
-24.894	-0.00699657
-24.893	-0.00899559
-24.892	-0.00587212
-24.891	-0.00924547
-24.89	-0.0103699
-24.889	-0.00749632
-24.888	-0.0149926
-24.887	-0.010245
-24.886	-0.00637187
-24.885	-0.0099951
-24.884	-0.00399804
-24.883	-0.0103699
-24.882	-0.00649681
-24.881	-0.00437286
-24.88	-0.0077462
-24.879	-0.00737138
-24.878	-0.00887065
-24.877	-0.00399804
-24.876	-0.00412298
-24.875	-0.01012
-24.874	-0.00837089
-24.873	-0.00737138
-24.872	-0.00399804
-24.871	-0.00699657
-24.87	-0.00799608
-24.869	-0.00724645
-24.868	-0.00324841
-24.867	-0.0077462
-24.866	-0.0158672
-24.865	-0.0131186
-24.864	-0.00649681
-24.863	-0.00649681
-24.862	-0.000874571
-24.861	-0.0077462
-24.86	-0.0103699
-24.859	-0.00724645
-24.858	-0.00587212
-24.857	-0.0022489
-24.856	-0.00749632
-24.855	-0.0127437
-24.854	-0.0107447
-24.853	-0.0054973
-24.852	-0.0104949
-24.851	-0.00762126
-24.85	-0.00499755
-24.849	-0.00724645
-24.848	-0.00949534
-24.847	-0.00437286
-24.846	-0.0217393
-24.845	0.00649681
-24.844	-0.00837089
-24.843	-0.00674669
-24.842	-0.0104949
-24.841	-0.00799608
-24.84	-0.00624694
-24.839	-0.00862077
-24.838	0.00174914
-24.837	-0.00949534
-24.836	-0.00949534
-24.835	-0.00687163
-24.834	-0.00499755
-24.833	-0.00849583
-24.832	-0.00824596
-24.831	-0.00924547
-24.83	-0.00574718
-24.829	-0.00699657
-24.828	-0.00287359
-24.827	-0.0077462
-24.826	-0.0108697
-24.825	0.00299853
-24.824	-0.006122
-24.823	-0.006122
-24.822	-0.00624694
-24.821	-0.00437286
-24.82	-0.00637187
-24.819	-0.00137433
-24.818	-0.010245
-24.817	-0.00524743
-24.816	-0.00212396
-24.815	-0.00899559
-24.814	-0.00699657
-24.813	-0.0077462
-24.812	-0.00662175
-24.811	-0.00599706
-24.81	-0.0127437
-24.809	-0.00587212
-24.808	-0.00487261
-24.807	-0.00887065
-24.806	0.00899559
-24.805	-0.026487
-24.804	-0.00337335
-24.803	-0.00474767
-24.802	-0.00237384
-24.801	-0.00924547
-24.8	-0.00174914
-24.799	-0.00537236
-24.798	-0.000374816
-24.797	-0.0131186
-24.796	-0.00899559
-24.795	-0.00699657
-24.794	-0.00762126
-24.793	-0.00849583
-24.792	-0.00187408
-24.791	-0.0108697
-24.79	-0.00787114
-24.789	-0.0077462
-24.788	-0.00149926
-24.787	-0.00337335
-24.786	-0.0022489
-24.785	-0.00349828
-24.784	-0.00487261
-24.783	-0.000624694
-24.782	-0.00574718
-24.781	-0.00962028
-24.78	-0.00587212
-24.779	-0.00949534
-24.778	-0.0038731
-24.777	-0.00174914
-24.776	-0.00674669
-24.775	-0.0038731
-24.774	-0.00724645
-24.773	-0.0479765
-24.772	-0.00349828
-24.771	-0.00874571
-24.77	-0.00412298
-24.769	-0.00487261
-24.768	-0.00874571
-24.767	-0.00287359
-24.766	-0.0123689
-24.765	-0.00412298
-24.764	-0.0106198
-24.763	-0.00799608
-24.762	-0.00424792
-24.761	-0.00537236
-24.76	-0.010245
-24.759	-0.00587212
-24.758	-0.0077462
-24.757	-0.00599706
-24.756	-0.00737138
-24.755	-0.0126188
-24.754	-0.00574718
-24.753	-0.00287359
-24.752	-0.00874571
